time,open,high,low,close,VWMA,Volume,Volume MA,Plot,Plot,Bearish Divergence2
1461934800,156.675,157.288,156.066,156.237,159.3641141977121,123081,63115.1,-0.5022490602575512,-0.5022490602575512,NaN
1461949200,156.237,156.282,155.226,155.269,158.9892370752243,61346,62363.75,-0.5423937850668429,-0.5423937850668429,NaN
1462136400,154.9,155.75,154.867,155.536,158.53526756971394,62436,60639.15,-0.5591161299131897,-0.5591161299131897,NaN
1462150800,155.536,155.832,155.512,155.728,158.37128335248548,34720,61003.7,-0.5592183201276577,-0.5592183201276577,NaN
1462165200,155.728,156.061,155.342,155.515,158.23109948141848,37577,61996,-0.5571817487118684,-0.5571817487118684,NaN
1462179600,155.515,156.565,155.414,156.407,158.07193052349717,42536,62472.2,-0.5234164494119931,-0.5234164494119931,NaN
1462194000,156.407,156.662,156.092,156.218,157.78817944802765,76918,63689.75,-0.49463668044791376,-0.49463668044791376,NaN
1462208400,156.218,156.375,156.076,156.116,157.5895913263107,25454,62557,-0.46766593161625025,-0.46766593161625025,NaN
1462222800,156.116,156.154,155.566,155.697,157.32319222485867,19552,60315.3,-0.45095252654956036,-0.45095252654956036,NaN
1462237200,155.697,156.006,155.458,155.575,156.96967403852895,31002,58078.95,-0.4342780925178016,-0.4342780925178016,NaN
1462251600,155.575,156.073,155.288,155.515,156.75633423136878,69129,60075.6,-0.41607419785777516,-0.41607419785777516,NaN
1462266000,155.515,155.735,154.685,155.034,156.52288272435624,67512,58781.6,-0.4082267716655119,-0.4082267716655119,NaN
1462280400,155.034,155.058,154.425,154.831,156.26425335296867,81302,57176.95,-0.400881300381592,-0.400881300381592,NaN
1462294800,154.831,155.073,154.604,154.882,156.1194659957621,30591,54975.5,-0.3870302970971975,-0.3870302970971975,NaN
1462309200,154.882,156.17,154.875,155.06,155.90796601141386,41293,52613.25,-0.364779935864601,-0.364779935864601,NaN
1462323600,155.06,155.924,155.032,155.866,155.82609020473632,34975,52181.85,-0.3192430852917409,-0.3192430852917409,NaN
1462338000,155.866,155.958,154.713,154.721,155.73455203600628,54664,53880,-0.3090546761871801,-0.3090546761871801,NaN
1462352400,154.721,154.881,154.411,154.55,155.59394324744198,70875,54815.15,-0.30000762910826967,-0.30000762910826967,NaN
1462366800,154.55,155.4,154.437,155.167,155.5226651098892,99565,56409.25,-0.27056088400728917,-0.27056088400728917,NaN
1462381200,155.167,155.353,154.921,155.032,155.44370917984205,25981,54525.45,-0.24600950684438605,-0.24600950684438605,NaN
1462395600,155.032,155.466,155.017,155.39,155.3436150361605,17358,49239.3,-0.21222651041059493,-0.21222651041059493,NaN
1462410000,155.39,155.582,155.314,155.47,155.3512971308681,21201,47232.05,-0.17927137110201885,-0.17927137110201885,NaN
1462424400,155.47,155.772,155.11,155.627,155.3541813960565,51597,46690.1,-0.14534449513122294,-0.14534449513122294,NaN
1462438800,155.627,155.861,154.881,155.064,155.3209880232945,65624,48235.3,-0.13064741677090208,-0.13064741677090208,NaN
1462453200,155.064,155.766,154.87,155.42,155.32225506814947,86604,50686.65,-0.10619968739522712,-0.10619968739522712,NaN
1462467600,155.42,155.434,155.128,155.342,155.27643931637866,25085,49814.1,-0.08628522863340715,-0.08628522863340715,NaN
1462482000,155.342,155.623,155.304,155.355,155.2016743172901,24045,47170.45,-0.0677190229225546,-0.0677190229225546,NaN
1462496400,155.355,155.514,155.012,155.159,155.1757988118171,28532,47324.35,-0.05613247256651821,-0.05613247256651821,NaN
1462510800,155.159,155.243,154.626,154.919,155.1522754673288,49787,48836.1,-0.05132362541842761,-0.05132362541842761,NaN
1462525200,154.919,155.279,153.633,153.967,155.04110959019692,85677,51569.85,-0.07110788029857207,-0.07110788029857207,NaN
1462539600,153.967,154.669,153.859,154.247,154.9321525808449,105212,53374,-0.07629853351095739,-0.07629853351095739,NaN
1462554000,154.247,154.715,154.155,154.46,154.90871993723414,36896,51843.2,-0.07186119389237366,-0.07186119389237366,NaN
1462741200,154.3,155.153,154.3,154.933,154.9158072486825,26382,49097.2,-0.05295779923668853,-0.05295779923668853,NaN
1462755600,154.933,155.121,154.653,155.076,154.92148533410943,28267,48981,-0.0320405919242851,-0.0320405919242851,NaN
1462770000,155.076,155.689,154.436,155.672,154.96106251401977,60281,49930.4,0.002374615127151203,0.002374615127151203,NaN
1462784400,155.672,156.428,155.407,156.196,155.01120708522998,67498,51556.55,0.04476545607075755,0.04476545607075755,NaN
1462798800,156.196,156.438,155.958,156.093,155.10752799083195,79343,52790.5,0.07567923372329488,0.07567923372329488,NaN
1462813200,156.093,156.399,155.963,156.033,155.1659394072274,20779,50285.7,0.09832043409845936,0.09832043409845936,NaN
1462827600,156.033,156.504,156.033,156.317,155.19443852771303,23099,46462.4,0.12344957653153843,0.12344957653153843,NaN
1462842000,156.317,156.81,156.138,156.725,155.26830051259319,42903,47308.5,0.15341832049059778,0.15341832049059778,NaN
1462856400,156.725,157.548,156.53,157.393,155.37705574881633,51155,48998.35,0.19364505567063728,0.19364505567063728,NaN
1462870800,157.393,157.924,157.23,157.563,155.53165164815078,73937,51635.15,0.2276415932759558,0.2276415932759558,NaN
1462885200,157.563,157.876,157.267,157.74,155.68481101725817,75509,52830.75,0.25636263265873105,0.25636263265873105,NaN
1462899600,157.74,157.865,157.639,157.764,155.7663900819632,20076,50553.35,0.27629408967787017,0.27629408967787017,NaN
1462914000,157.764,157.992,157.643,157.716,155.8452632636133,22941,47370.2,0.2870346914109403,0.2870346914109403,NaN
1462928400,157.716,157.835,156.9,157.174,155.91220170446005,38924,48062.15,0.2769957103267846,0.2769957103267846,NaN
1462942800,157.174,157.297,156.522,156.708,155.96720113119068,51495,49434.65,0.25294533142304637,0.25294533142304637,NaN
1462957200,156.708,157.33,156.411,156.937,156.03828363542826,50284,50522.25,0.23712679576079665,0.23712679576079665,NaN
1462971600,156.937,157.313,156.494,156.995,156.15744035665742,70136,51539.7,0.2232445735561639,0.2232445735561639,NaN
1462986000,156.995,157.025,156.56,156.595,156.36203693378454,24456,48478.65,0.19861623021846722,0.19861623021846722,NaN
1463000400,156.595,156.723,156.256,156.544,156.61751256391278,23181,44377.1,0.17541848759541323,0.17541848759541323,NaN
1463014800,156.544,157.191,156.454,157.158,156.7266432364478,30666,44065.6,0.17164366389447108,0.17164366389447108,NaN
1463029200,157.158,157.429,156.677,157.263,156.80820988173187,49284,45210.7,0.1691746201427527,0.1691746201427527,NaN
1463043600,157.263,158.307,157.25,158.085,156.96094848814215,75465,47570.6,0.1871066978044032,0.1871066978044032,NaN
1463058000,158.085,158.486,157.057,157.591,157.09584568371977,85856,48849.35,0.18490643488693193,0.18490643488693193,NaN
1463072400,157.591,157.762,157.229,157.467,157.17071018240466,24809,46714.9,0.17706011764803706,0.17706011764803706,NaN
1463086800,157.467,157.656,157.111,157.226,157.2694473565808,25155,44005.5,0.16172841028396148,0.16172841028396148,NaN
1463101200,157.226,157.291,156.931,157.172,157.29482514156197,31624,44547.75,0.14583724073060467,0.14583724073060467,NaN
1463115600,157.172,157.199,156.246,156.672,157.2777211996764,61795,46482.55,0.1176461746037472,0.1176461746037472,NaN
1463130000,156.672,157.385,156.587,156.864,157.27260803930244,69131,47793.95,0.09904840531663733,0.09904840531663733,NaN
1463144400,156.864,157.236,156.325,156.405,157.18570301018738,92822,49877.3,0.07054526147562527,0.07054526147562527,NaN
1463158800,156.405,156.659,155.905,155.925,157.1143703288588,31939,47777.4,0.034218161769427005,0.034218161769427005,NaN
