time,open,high,low,close,%K,%D,RSI,Plot
2019-01-06 22:00:00,138.091,138.179,138.011,138.02,81.44852491841229,86.24530301257273,65.52483740079899,0.07038872944078922
2019-01-06 22:30:00,138.02,138.084,137.922,138.07399999999998,77.05906047558337,82.18558637142308,66.84998734524919,0.0618899534084677
2019-01-06 23:00:00,138.07399999999998,138.30200000000002,137.935,138.273,80.0009218903088,79.50283576143481,71.23759597503262,0.05895178059698398
2019-01-06 23:30:00,138.273,138.334,138.168,138.21,81.07398728780585,79.37798988456598,68.16180090629622,0.0532668606285675
2019-01-07 00:00:00,138.21,138.254,138.099,138.22799999999998,82.46459051641158,81.17983323150872,68.57922894612932,0.047714802706893385
2019-01-07 00:30:00,138.22799999999998,138.281,138.15,138.15,68.92862165205959,77.48906648542565,64.6251831744885,0.039740624231016534
2019-01-07 01:00:00,138.15,138.234,138.10399999999998,138.222,68.33707833411192,73.24343016752769,66.54279762962932,0.03406052900645401
2019-01-07 01:30:00,138.222,138.286,138.03,138.09,56.31067961165176,64.52545986594107,60.10946407653779,0.02472009526413393
2019-01-07 02:00:00,138.09,138.105,137.967,138.048,48.05825242718554,57.568670124316405,58.18201112895432,0.015115647675970678
2019-01-07 02:30:00,138.048,138.072,137.93,137.93,24.43365695793011,42.93419633225579,53.03644963039629,0.003398938863175771
2019-01-07 03:00:00,137.93,137.976,137.748,137.836,15.847112230361018,29.446340538492212,49.296300636069844,-0.009120379535978995
2019-01-07 03:30:00,137.836,137.88,137.774,137.864,12.25134475408101,17.510704647457366,50.41794162828587,-0.018755697272616226
2019-01-07 04:00:00,137.864,137.988,137.724,137.869,19.52759283090166,15.875349938447876,50.62797669439197,-0.026612273754162863
2019-01-07 04:30:00,137.869,138.036,137.862,138.036,31.571084876630827,21.116674153871145,57.15608765672821,-0.02856710259532108
2019-01-07 05:00:00,138.036,138.054,137.97,138.04,42.24043715847032,31.11303828866759,57.301715772324535,-0.03030979013699758
2019-01-07 05:30:00,138.04,138.04,137.856,137.93200000000002,45.68306010928927,39.83152738146345,52.1477651194763,-0.034880484640768705
2019-01-07 06:00:00,137.93200000000002,138.02200000000002,137.856,137.95,40.983606557376106,42.969034608378536,52.908009313844154,-0.03815084561149384
2019-01-07 06:30:00,137.95,138.006,137.852,137.935,36.230674989790366,40.9657805521519,52.16425865484421,-0.0412387276570067
2019-01-07 07:00:00,137.935,137.935,137.774,137.922,36.608327013204544,37.940869520123655,51.488712922675184,-0.0440666592717277
2019-01-07 07:30:00,137.922,137.998,137.876,137.928,36.35824436536268,36.39908212278585,51.79897633031683,-0.04611758388158516
2019-01-07 08:00:00,137.928,137.936,137.683,137.86,33.627827647056755,35.53146634187465,48.0483116540136,-0.04951897099329011
2019-01-07 08:30:00,137.86,137.891,137.616,137.71,28.291690033557106,32.759254015325496,40.99649767478176,-0.056116244527565085
2019-01-07 09:00:00,137.71,137.888,137.681,137.713,23.28268918029553,28.40073562030311,41.1824255497233,-0.0609279811778275
2019-01-07 09:30:00,137.713,138.102,137.688,137.95600000000002,36.817893815553205,29.464091009801926,53.86407282098177,-0.057758790235651614
2019-01-07 10:00:00,137.95600000000002,137.961,137.796,137.858,47.00833874810195,35.70297391465021,49.25199262934938,-0.05765332880447721
2019-01-07 10:30:00,137.858,137.98,137.808,137.946,62.551440329215886,48.79255763095699,53.132683333690885,-0.05487416652745297
2019-01-07 11:00:00,137.946,138.125,137.942,137.988,63.59331754078045,57.7176988726994,54.90511154780936,-0.05128983991265778
2019-01-07 11:30:00,137.988,138.214,137.983,138.204,79.7711577121802,68.63863852739216,62.714658417839544,-0.04241094829985459
2019-01-07 12:00:00,138.204,138.21,138.106,138.128,85.67698922187623,76.34715482494559,58.85268463076621,-0.03745283968701929
2019-01-07 12:30:00,138.128,138.14600000000002,137.976,138.007,83.1103678929763,82.85283827567754,53.23223075566693,-0.0368239754970375
2019-01-07 13:00:00,138.007,138.23,137.97799999999998,138.22299999999998,83.28775977834229,84.02503896439826,60.4866411746546,-0.0304327669170531
2019-01-07 13:30:00,138.22299999999998,138.382,138.154,138.322,85.47055068857178,83.95622611996346,63.296767891761895,-0.02282665226596578
2019-01-07 14:00:00,138.322,138.408,138.268,138.27200000000002,91.28510650312752,86.68113899001385,60.939544968669885,-0.01842482422746261
2019-01-07 14:30:00,138.27200000000002,138.401,138.168,138.375,90.27623932976446,89.01063217382124,63.920348545202295,-0.01243453451421758
2019-01-07 15:00:00,138.375,138.656,138.278,138.578,90.38720538720571,90.64951707336589,68.94963394454571,-0.002596656818221299
2019-01-07 15:30:00,138.578,138.687,138.346,138.49200000000002,89.64987850673698,90.10444107456901,64.82689116427129,0.0022488441799170533
2019-01-07 16:00:00,138.49200000000002,138.579,138.338,138.403,81.5626245861488,87.19990282669714,60.77676900721533,0.003057864918128095
2019-01-07 16:30:00,138.403,138.61700000000002,138.369,138.57,79.68552020904394,83.63267443397655,65.1735360563316,0.007647477642159506
2019-01-07 17:00:00,138.57,138.747,138.54399999999998,138.702,84.549308723961,81.93248450638457,68.2071588211205,0.0141485135448286
2019-01-07 17:30:00,138.702,138.774,138.611,138.738,92.58314384112984,85.60599092471158,69.00025092300554,0.019425555210077383
2019-01-07 18:00:00,138.738,138.868,138.719,138.80200000000002,94.49388050523022,90.5421110234403,70.41328671967328,0.02441818200717621
2019-01-07 18:30:00,138.80200000000002,138.82399999999998,138.532,138.622,86.89849948258068,91.32517460964688,61.87125594029207,0.02249691103031265
2019-01-07 19:00:00,138.622,138.708,138.59,138.622,79.14798206278148,86.84678735019743,61.87125594029207,0.020102382775779498
2019-01-07 19:30:00,138.622,138.704,138.589,138.681,74.6106044574345,80.21902866759888,63.552101760597154,0.018968933112442216
2019-01-07 20:00:00,138.681,138.829,138.664,138.829,81.98270127822555,78.58042926614715,67.43072708673472,0.021235199765389876
2019-01-07 20:30:00,138.829,138.874,138.762,138.816,88.43709390685781,81.67679988083927,66.75871110326399,0.021739652884817492
2019-01-07 21:00:00,138.816,138.819,138.741,138.815,92.6551923885711,87.69166252455145,66.70364141295522,0.021185255522884142
2019-01-07 21:30:00,138.815,138.951,138.80100000000002,138.906,92.24709452832748,91.1131269412521,69.19402224013668,0.022300355940523875
2019-01-07 22:00:00,138.906,138.964,138.859,138.918,92.53611274130208,92.47946655273351,69.51779472961054,0.02254781200982969
2019-01-07 22:30:00,138.918,138.974,138.915,138.92600000000002,92.80603630749997,92.52974785904314,69.7460811138498,0.022001508042989282
2019-01-07 23:00:00,138.92600000000002,138.966,138.878,138.887,90.24147402930795,91.8612076927033,67.1075377627447,0.01956798284884093
