time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI,Plot,Plot,Bearish Divergence2
1525683600,147.954,148.114,147.808,148.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,149.812,37.70833333333331,30.07116195114604,36.261563932542586,-0.08882086514004295,-0.08882086514004295,NaN
1525698000,148.108,148.266,147.895,147.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,149.812,40.95711974110032,36.005991315968295,33.8157781743861,-0.07278638371522206,-0.07278638371522206,NaN
1525712400,147.946,147.983,147.774,147.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,148.064,46.1037934849073,41.58974885311259,32.98749486083163,-0.05903356778917135,-0.05903356778917135,NaN
1525726800,147.89,147.988,147.774,147.852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,148.064,51.308471847480405,46.123128357828286,32.40741974755349,-0.04676658457079341,-0.04676658457079341,NaN
1525741200,147.852,147.872,147.69,147.755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,148.064,55.81050243317722,51.074255921853926,30.91307787158577,-0.03743185363526724,-0.03743185363526724,NaN
1525755600,147.755,148.084,147.139,147.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148.668,148.064,44.89800823315225,50.67232750460224,25.124970963927396,-0.04006568974351743,-0.04006568974351743,NaN
1525770000,147.305,147.379,147.056,147.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.305,148.064,31.640069999137523,44.11619355515461,24.93502711593439,-0.040216637372066155,-0.040216637372066155,NaN
1525784400,147.288,147.992,147.27,147.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.064,31.388219947822495,35.97543272670304,37.95069497533274,-0.02610846236811093,-0.02610846236811093,NaN
1525798800,147.726,147.906,147.457,147.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.064,46.61157024793406,36.54662006496364,40.970573728388395,-0.009754302508738988,-0.009754302508738988,NaN
1525813200,147.846,148.151,147.727,148.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.064,69.11845730027547,49.03941583200963,46.969599074884215,0.01184538594959672,0.01184538594959672,NaN
1525827600,148.105,148.418,148.105,148.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.105,77.68024659894878,64.47009138238506,48.17409853177043,0.031643918921322456,0.031643918921322456,NaN
1525842000,148.16,148.744,148.04,148.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.105,88.34212170502896,78.3802752014167,58.180256080515534,0.06278625193717802,0.06278625193717802,NaN
1525856400,148.698,149.2,148.361,149.087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,148.105,91.02054261699813,85.68097030699091,63.64573090547129,0.09817938203357557,0.09817938203357557,NaN
1525870800,149.087,149.198,148.652,148.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,89.00145304284263,89.45470578828888,55.197911445450785,0.11429052727148292,0.11429052727148292,NaN
1525885200,148.664,148.75,148.572,148.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,81.57649253731314,87.19949606571693,55.197911445450785,0.1265794004990265,0.1265794004990265,NaN
1525899600,148.664,148.918,148.6,148.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,77.53420398009932,82.70404985341735,57.70669706979896,0.14006998323416808,0.14006998323416808,NaN
1525914000,148.827,148.922,148.546,148.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,81.3432835820895,80.15132669983296,58.95198111848379,0.1520350290034942,0.1520350290034942,NaN
1525928400,148.909,149.234,148.616,148.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,84.32002064973541,81.06583607064039,58.387528162847715,0.15967372844949634,0.15967372844949634,NaN
1525942800,148.884,149.312,147.926,148.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,71.41347624410362,79.02559349197514,43.3903078400002,0.14177016324334124,0.14177016324334124,NaN
1525957200,148.046,148.348,147.484,147.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.274,149.113,52.76988127568313,69.50112605650635,39.45696364958121,0.11878127534852989,0.11878127534852989,NaN
