time,open,high,low,close,vwma,S/R,SR,volume,sent_30,RSI
2019-01-06 22:00:00,138.134,138.134,137.91899999999998,137.93200000000002,137.52138154324214,137.26799999999997,138.012,1740,0.07128040451079848,62.58874058872917
2019-01-06 22:30:00,137.93200000000002,138.04299999999998,137.91199999999998,137.96599999999998,137.53847511719266,137.26799999999997,138.012,2579,0.06065771829837958,63.490610902096826
2019-01-06 23:00:00,137.96599999999998,138.297,137.92299999999997,138.27200000000002,137.59088768913074,137.26799999999997,138.012,11475,0.059024327129279415,70.40543215907849
2019-01-06 23:30:00,138.27200000000002,138.333,138.16199999999998,138.207,137.6975880238422,137.26799999999997,138.012,9983,0.0543351475181123,67.48169073440316
2019-01-07 00:00:00,138.207,138.247,138.095,138.224,137.77211273854778,137.26799999999997,138.012,10163,0.04954950400472158,67.857641335425
2019-01-07 00:30:00,138.224,138.28099999999998,138.14499999999998,138.14999999999998,137.85451395771074,137.26799999999997,138.012,6684,0.0422860059279449,64.36907049836347
2019-01-07 01:00:00,138.14999999999998,138.232,138.09699999999998,138.218,137.9448778082044,137.26799999999997,138.012,7148,0.03704444056413042,66.09405998205412
2019-01-07 01:30:00,138.218,138.28199999999998,138.02399999999997,138.08700000000002,138.03315517682546,137.26799999999997,138.012,8658,0.0280584433758308,60.06148874558035
2019-01-07 02:00:00,138.08700000000002,138.105,137.96099999999998,138.04799999999997,138.10684429960287,137.26799999999997,138.012,5759,0.01879039237347324,58.35388232606054
2019-01-07 02:30:00,138.04799999999997,138.07399999999998,137.92700000000002,137.92999999999998,138.12154587175777,137.26799999999997,138.012,4309,0.007308172926443313,53.40637057389692
2019-01-07 03:00:00,137.92999999999998,137.975,137.743,137.833,138.13464494809483,137.26799999999997,138.012,5857,-0.00514211891606231,49.67770834821693
2019-01-07 03:30:00,137.833,137.875,137.77200000000002,137.85899999999998,138.13562794412508,137.26799999999997,138.012,4925,-0.014812311796687738,50.67183391893522
2019-01-07 04:00:00,137.85899999999998,137.982,137.718,137.866,138.11814732226827,137.26799999999997,138.012,8089,-0.022676980419574392,50.952768182959296
2019-01-07 04:30:00,137.866,138.033,137.856,138.033,138.1175653719433,137.26799999999997,138.012,5815,-0.02467447219107349,57.21343104771292
2019-01-07 05:00:00,138.033,138.05100000000002,137.964,138.03699999999998,138.10149049452752,137.26799999999997,138.012,4629,-0.02648732741806437,57.353846172162406
2019-01-07 05:30:00,138.03699999999998,138.03799999999998,137.85299999999998,137.93099999999998,138.0831794509133,137.26799999999997,138.012,4794,-0.031095608385831863,52.442294993455725
2019-01-07 06:00:00,137.93099999999998,138.01799999999997,137.85,137.94799999999998,138.07275921706238,137.26799999999997,138.012,5607,-0.034460162214064394,53.13544678034907
2019-01-07 06:30:00,137.94799999999998,138.003,137.84799999999998,137.93200000000002,138.06421628224956,137.26799999999997,138.012,3150,-0.03768594983770668,52.36191401149418
2019-01-07 07:00:00,137.93200000000002,137.93200000000002,137.767,137.91899999999998,138.0517365056645,137.26799999999997,138.012,10961,-0.040657669605237534,51.70331537844972
2019-01-07 07:30:00,137.91899999999998,138.0,137.872,137.92299999999997,138.0424584341476,137.26799999999997,138.012,10344,-0.0429099441416822,51.903770733804215
2019-01-07 08:00:00,137.92299999999997,137.934,137.67999999999998,137.856,138.02977526820155,137.26799999999997,138.012,10662,-0.04647404193718646,48.288478869410184
2019-01-07 08:30:00,137.856,137.887,137.613,137.70600000000002,138.00935856557604,137.26799999999997,138.012,9898,-0.05322952170818168,41.345116741667574
2019-01-07 09:00:00,137.70600000000002,137.88299999999998,137.67899999999997,137.71099999999998,137.97293170943541,137.26799999999997,138.012,7607,-0.05814028467567577,41.64631882965822
2019-01-07 09:30:00,137.71099999999998,138.10899999999998,137.68499999999997,137.95499999999998,137.955585248989,137.26799999999997,138.012,10409,-0.05505060515341848,54.047598947138965
2019-01-07 10:00:00,137.95499999999998,137.96200000000002,137.79199999999997,137.85299999999998,137.9318160905726,137.26799999999997,138.012,6194,-0.05514448819596629,49.32818150414293
2019-01-07 10:30:00,137.85299999999998,137.97899999999998,137.80399999999997,137.945,137.9221599291301,137.26799999999997,138.012,6854,-0.05243884285317802,53.28999679731018
2019-01-07 11:00:00,137.945,138.123,137.94099999999997,137.985,137.90977560753333,137.26799999999997,138.012,5965,-0.0489923877813947,54.93960048569371
2019-01-07 11:30:00,137.985,138.20999999999998,137.98,138.2,137.91324933706068,137.26799999999997,138.012,6948,-0.04027284258713201,62.58760864428586
2019-01-07 12:00:00,138.2,138.20499999999998,138.1,138.122,137.91820870757186,137.26799999999997,138.012,7045,-0.03551599102932332,58.69538247993986
2019-01-07 12:30:00,138.122,138.14399999999998,137.974,138.003,137.92217252637343,137.26799999999997,138.012,7286,-0.035010087189492466,53.25411672804261
2019-01-07 13:00:00,138.003,138.22699999999998,137.974,138.22,137.94407606427686,137.26799999999997,138.012,8997,-0.0287067567884306,60.453587155084016
2019-01-07 13:30:00,138.22,138.381,138.14899999999997,138.31799999999998,137.96908802162704,137.26799999999997,138.012,8925,-0.02121459324839009,63.20937259454027
2019-01-07 14:00:00,138.31799999999998,138.40499999999997,138.26299999999998,138.26899999999998,137.99443461917542,137.26799999999997,138.012,10080,-0.01689154990228975,60.92336902324809
2019-01-07 14:30:00,138.26899999999998,138.39899999999997,138.16299999999998,138.366,138.02633609519677,137.26799999999997,138.012,14406,-0.011141460809811238,63.7205254295887
2019-01-07 15:00:00,138.366,138.65200000000002,138.256,138.57199999999997,138.08689013959432,137.26799999999997,138.012,19591,-0.0014220963128385169,68.82434581712042
2019-01-07 15:30:00,138.57199999999997,138.68499999999997,138.343,138.49200000000002,138.1333921470077,137.26799999999997,138.012,20081,0.003482077214410878,65.00001626819684
2019-01-07 16:00:00,138.49200000000002,138.576,138.332,138.39899999999997,138.15891015494608,137.26799999999997,138.012,15376,0.0042153141674312325,60.772384625916125
2019-01-07 16:30:00,138.39899999999997,138.613,138.36399999999998,138.565,138.186052306358,137.26799999999997,138.012,12269,0.008706763123289218,65.13175337371175
2019-01-07 17:00:00,138.565,138.74499999999998,138.53699999999998,138.695,138.22038440335942,137.26799999999997,138.012,8223,0.015066408997193387,68.11970761015696
2019-01-07 17:30:00,138.695,138.77200000000002,138.607,138.73299999999998,138.25091855633994,137.26799999999997,138.012,6085,0.02027872342426751,68.95710382307342
2019-01-07 18:00:00,138.73299999999998,138.863,138.714,138.79899999999998,138.29336384585744,137.26799999999997,138.012,7810,0.025266895973921986,70.41084241514518
2019-01-07 18:30:00,138.79899999999998,138.82,138.52999999999997,138.619,138.3344145147625,137.26799999999997,138.012,7000,0.02333361551536781,61.8973216890977
2019-01-07 19:00:00,138.619,138.70600000000002,138.58100000000002,138.618,138.368523731229,137.26799999999997,138.012,6906,0.020894049266585116,61.852577191559476
2019-01-07 19:30:00,138.618,138.701,138.58499999999998,138.67700000000002,138.4005393665108,137.26799999999997,138.012,5975,0.0197174344088257,63.52777734303418
2019-01-07 20:00:00,138.67700000000002,138.82899999999998,138.658,138.82799999999997,138.43106454627045,137.26799999999997,138.67700000000002,5746,0.022023623892941963,67.46558194851298
2019-01-07 20:30:00,138.82799999999997,138.872,138.75799999999998,138.81799999999998,138.46088045511922,137.26799999999997,138.67700000000002,6093,0.022631595595458742,66.95005590247672
2019-01-07 21:00:00,138.81799999999998,138.819,138.736,138.813,138.47947813414171,137.26799999999997,138.81799999999998,1796,0.02203865579303149,66.67571490716999
2019-01-07 21:30:00,138.813,138.94,138.79199999999997,138.891,138.49872220860198,137.26799999999997,138.81799999999998,3865,0.022761645182106882,68.82204573458722
2019-01-07 22:00:00,138.891,139.009,138.826,138.89899999999997,138.51946914593137,137.26799999999997,138.891,2656,0.02259222091869684,69.04227998364833
2019-01-07 22:30:00,138.89899999999997,138.97899999999998,138.886,138.909,138.54963962488375,137.26799999999997,138.891,3959,0.021778909917770373,69.3338821452472
2019-01-07 23:00:00,138.909,138.96200000000002,138.873,138.886,138.57370295121618,137.26799999999997,138.891,3359,0.01957805191725931,67.75313044971693
2019-01-07 23:30:00,138.886,138.95600000000002,138.83399999999997,138.88299999999998,138.59350077240234,137.26799999999997,138.891,3146,0.016869868647675812,67.53684018204649
2019-01-08 00:00:00,138.88299999999998,139.01799999999997,138.862,138.92299999999997,138.6273847100041,137.26799999999997,138.891,6626,0.014969443156667428,68.95968379517754
2019-01-08 00:30:00,138.92299999999997,139.01399999999998,138.892,138.94699999999997,138.66486206806172,137.26799999999997,138.891,6122,0.013288617523870505,69.81455348141783
2019-01-08 01:00:00,138.94699999999997,138.97299999999998,138.67299999999997,138.737,138.68178922573688,137.26799999999997,138.891,7854,0.005467432544204898,55.42960526785025
2019-01-08 01:30:00,138.737,138.75,138.53799999999998,138.57899999999998,138.70445402560827,137.26799999999997,138.891,8543,-0.005589702611841829,47.49957981183749
2019-01-08 02:00:00,138.57899999999998,138.69199999999998,138.55399999999997,138.66799999999998,138.741804178024,137.26799999999997,138.891,5928,-0.01229380251342882,51.69204132759792
2019-01-08 02:30:00,138.66799999999998,138.868,138.66099999999997,138.84099999999998,138.7662122740125,137.26799999999997,138.891,6142,-0.013232039926457216,58.61088100690576
2019-01-08 03:00:00,138.84099999999998,138.89,138.72699999999998,138.732,138.77040596930226,137.26799999999997,138.891,3715,-0.017306187769141057,53.4195373212661
2019-01-08 03:30:00,138.732,138.97099999999998,138.67999999999998,138.91,138.78192238164408,137.26799999999997,138.891,7506,-0.015975603454003784,59.697412161871824
2019-01-08 04:00:00,138.91,139.016,138.904,138.976,138.78956992815702,137.26799999999997,138.891,4938,-0.0134958134212409,61.75560142072834
2019-01-08 04:30:00,138.976,139.088,138.94199999999998,139.064,138.81006825415025,137.26799999999997,138.891,3441,-0.009563608894183284,64.3684290758179
2019-01-08 05:00:00,139.064,139.08999999999997,138.92899999999997,138.93499999999997,138.828728715219,137.26799999999997,138.891,4623,-0.010437069053760406,58.10192702014232
2019-01-08 05:30:00,138.93499999999997,138.96099999999998,138.84099999999998,138.84599999999998,138.83851210556108,137.26799999999997,138.891,4433,-0.013941532458783323,54.18272122314732
2019-01-08 06:00:00,138.84599999999998,139.07799999999997,138.784,139.03199999999998,138.8511771353918,137.26799999999997,138.891,6302,-0.01198437783953199,60.221674269955045
2019-01-08 06:30:00,139.03199999999998,139.058,138.95600000000002,139.03099999999998,138.85948362372108,137.26799999999997,138.891,3420,-0.010875271897026915,60.175751759148596
2019-01-08 07:00:00,139.03099999999998,139.43599999999998,138.933,139.22099999999998,138.92464881352421,137.26799999999997,138.891,20955,-0.005269202371741778,65.55088413276661
2019-01-08 07:30:00,139.22099999999998,139.32199999999997,139.047,139.08399999999997,138.9379919782401,137.26799999999997,138.891,9497,-0.00511059149526305,59.3323920592138
2019-01-08 08:00:00,139.08399999999997,139.1,138.84199999999998,139.06099999999998,138.9503747952078,137.26799999999997,138.891,12553,-0.006096941615808982,58.33192047386159
2019-01-08 08:30:00,139.06099999999998,139.207,138.991,139.17299999999997,138.96424307681028,137.26799999999997,138.891,7792,-0.004300392106375006,61.717178019020594
2019-01-08 09:00:00,139.17299999999997,139.285,138.974,139.107,138.97594587152724,137.26799999999997,138.891,9919,-0.005188259296305786,58.691159933611935
2019-01-08 09:30:00,139.107,139.125,138.958,138.994,138.97869015441336,137.26799999999997,138.891,6051,-0.009416397606007544,53.82518176904941
2019-01-08 10:00:00,138.994,138.99599999999998,138.64499999999998,138.72299999999998,138.96374864444834,137.26799999999997,138.891,10205,-0.020442974201658196,44.332386677896416
