time,open,high,low,close,VWMA,S/R,SR,Volume,Volume MA,Plot,Plot,Bearish Divergence2,RSI
1546282800,139.76999999999998,139.778,139.76,139.76299999999998,NaN,139.713,143.51899999999998,190,NaN,NaN,NaN,NaN,NaN
1546405200,139.76299999999998,139.76299999999998,139.40499999999997,139.422,NaN,139.713,143.51899999999998,2131,NaN,NaN,NaN,NaN,NaN
1546407000,139.422,139.482,139.391,139.44299999999998,NaN,139.713,143.51899999999998,8129,NaN,NaN,NaN,NaN,NaN
1546408800,139.44299999999998,139.48899999999998,139.362,139.373,NaN,139.44299999999998,143.51899999999998,9261,NaN,NaN,NaN,NaN,NaN
1546410600,139.373,139.408,139.301,139.37699999999998,NaN,139.44299999999998,143.51899999999998,5421,NaN,NaN,NaN,NaN,NaN
1546412400,139.37699999999998,139.44099999999997,139.291,139.351,NaN,139.44299999999998,143.51899999999998,9388,NaN,NaN,NaN,NaN,NaN
1546414200,139.351,139.45899999999997,139.302,139.40599999999998,NaN,139.44299999999998,143.51899999999998,11811,NaN,NaN,NaN,NaN,NaN
1546416000,139.40599999999998,139.468,138.82399999999998,138.837,NaN,139.44299999999998,143.51899999999998,23124,NaN,NaN,NaN,NaN,NaN
1546417800,138.837,138.84199999999998,138.321,138.504,NaN,139.44299999999998,143.51899999999998,23923,NaN,NaN,NaN,NaN,NaN
1546419600,138.504,138.564,138.15099999999998,138.15099999999998,NaN,138.504,143.51899999999998,19423,NaN,NaN,NaN,NaN,NaN
1546421400,138.15099999999998,138.457,138.14899999999997,138.253,NaN,138.504,143.51899999999998,16359,NaN,NaN,NaN,NaN,NaN
1546423200,138.253,138.41199999999998,138.16,138.23399999999998,NaN,138.253,143.51899999999998,12141,NaN,NaN,NaN,NaN,NaN
1546425000,138.23399999999998,138.297,138.08499999999998,138.21499999999997,NaN,138.253,143.51899999999998,9727,NaN,NaN,NaN,NaN,NaN
1546426800,138.21499999999997,138.321,138.20499999999998,138.26899999999998,NaN,138.253,143.51899999999998,11100,NaN,NaN,NaN,NaN,NaN
1546428600,138.26899999999998,138.279,138.113,138.19699999999997,NaN,138.253,143.51899999999998,11245,NaN,NaN,NaN,NaN,11.579980372913155
1546430400,138.19699999999997,138.369,138.17499999999998,138.21499999999997,NaN,138.253,143.51899999999998,11701,NaN,NaN,NaN,NaN,12.413071113436132
1546432200,138.21499999999997,138.21499999999997,138.039,138.10199999999998,NaN,138.253,143.51899999999998,11852,NaN,NaN,NaN,NaN,11.669721992395523
1546434000,138.10199999999998,138.14299999999997,137.44199999999998,137.58499999999998,NaN,138.10199999999998,143.51899999999998,18681,NaN,NaN,NaN,NaN,9.010950678743143
1546435800,137.58499999999998,137.74699999999999,137.53599999999997,137.701,NaN,138.10199999999998,143.51899999999998,20674,NaN,NaN,NaN,NaN,13.75870122256353
1546437600,137.701,137.85799999999998,137.628,137.69899999999998,138.39384939412807,138.10199999999998,143.51899999999998,14267,12527.4,NaN,NaN,NaN,13.74538404062946
1546439400,137.69899999999998,137.896,137.67299999999997,137.856,138.35692906582779,138.10199999999998,143.51899999999998,17933,13414.55,NaN,NaN,NaN,20.269389596626922
1546441200,137.856,138.046,137.79299999999998,137.93699999999998,138.32032348699133,138.10199999999998,143.51899999999998,19496,14282.8,NaN,NaN,NaN,23.484894723286544
1546443000,137.93699999999998,138.01299999999998,137.65099999999998,137.70999999999998,138.2474456584803,138.10199999999998,143.51899999999998,20652,14908.95,NaN,NaN,NaN,20.936567882162024
